,Price,DeltaPrice,DeltaTime,DeltaTick
mean,2142.8559862569687,2.2421672524884236e-05,4.819156021867725,0.005364714882055408
max,2185.8,13.6,64804.5,3.0
Q3,2158.0,0.0,1.5,0.0
median,2145.0,0.0,1.0,0.0
Q1,2130.8,0.0,0.5,0.0
min,2082.6,-11.6,0.0,-3.0
std,21.415104001498182,0.15990052046367517,471.1318932827604,0.7127031483386538
skew,-0.43668018909669126,-1.604112829123919,135.97470267070418,-0.38293410803514416
kurtosis,-0.4475058535571188,340.9688969888548,18624.54936190484,3.1997598116477515
