,Price,DeltaPrice,DeltaTime,DeltaTick
mean,2146.7523961133898,-2.077731605963871e-05,4.551449828892691,0.002777438279149352
max,2200.0,3.4,64803.0,3.0
Q3,2156.4,0.0,1.5,0.0
median,2146.6,0.0,1.0,0.0
Q1,2131.8,0.0,0.5,0.0
min,2112.4,-8.8,0.0,-3.0
std,18.523023096538008,0.13562031286114096,453.6402002197717,0.6397970563463538
skew,0.5127313134917821,-2.2426663303972605,141.17141954116278,-0.40982859435385954
kurtosis,-0.5188273593241051,86.11002012119752,20082.4907976647,3.6493239751856406
